employee_id,employee_name,department,project_id,date,hours,billable
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-01,5.1,True
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-01,1.8,False
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-02,4.9,True
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-02,1.8,False
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-03,5.7,True
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-03,1.7,False
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-04,5.9,True
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-04,2.5,False
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-05,5.8,True
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-05,0.7,False
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-08,5.5,True
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-08,1.2,False
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-09,6.3,True
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-09,0.8,False
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-10,5.6,True
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-10,1.9,False
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-11,6.6,True
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-11,1.6,False
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-12,5.1,True
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-12,2.1,False
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-15,5.4,True
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-15,1.9,False
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-16,6.6,True
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-16,1.3,False
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-17,4.8,True
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-17,1.3,False
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-18,6.3,True
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-18,1.2,False
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-19,5.4,True
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-19,2.1,False
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-22,7.1,True
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-22,1.4,False
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-23,6.2,True
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-23,1.0,False
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-24,4.9,True
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-24,2.6,False
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-25,6.8,True
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-25,1.1,False
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-26,6.3,True
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-26,1.7,False
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-29,6.8,True
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-29,0.5,False
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-30,6.3,True
EMP001,Ishita Sharma,Engineering,PRJ03,2026-06-30,0.7,False
EMP001,Ishita Sharma,Engineering,PRJ03,2026-07-01,5.0,True
